연번,호선,역명,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물,데이터기준일자
1,1호선,서울역(1),33.7 ,68.8 ,525.0 ,15.8 ,1.7 ,0.016 ,10.1 ,123.0 ,2023-12-31
2,1호선,시청(1),54.7 ,81.7 ,444.0 ,6.0 ,1.4 ,0.017 ,13.4 ,71.6 ,2023-12-31
3,1호선,종각,49.8 ,162.1 ,605.5 ,7.0 ,0.9 ,0.018 ,15.8 ,111.9 ,2023-12-31
4,1호선,종로3가(1),64.7 ,75.9 ,575.5 ,7.0 ,0.5 ,0.016 ,8.7 ,150.7 ,2023-12-31
5,1호선,종로5가,71.4 ,106.5 ,554.0 ,8.4 ,0.8 ,0.017 ,11.6 ,105.2 ,2023-12-31
6,1호선,동대문(1),61.1 ,76.9 ,756.0 ,9.3 ,0.6 ,0.015 ,16.2 ,142.4 ,2023-12-31
7,1호선,동묘앞(1),46.5 ,49.5 ,457.0 ,7.8 ,0.7 ,0.016 ,10.1 ,147.7 ,2023-12-31
8,1호선,신설동(1),72.3 ,70.8 ,563.0 ,8.4 ,0.4 ,0.016 ,13.9 ,90.5 ,2023-12-31
9,1호선,제기동,63.0 ,76.5 ,509.0 ,9.3 ,0.5 ,0.015 ,10.2 ,100.1 ,2023-12-31
10,1호선,청량리,56.0 ,38.6 ,509.0 ,6.3 ,0.7 ,0.018 ,7.9 ,89.6 ,2023-12-31
11,2호선,시청(2),53.0 ,38.6 ,601.0 ,8.5 ,1.4 ,0.015 ,22.0 ,170.3 ,2023-12-31
12,2호선,을지로입구,40.5 ,67.9 ,503.0 ,8.2 ,1.6 ,0.016 ,10.8 ,85.8 ,2023-12-31
13,2호선,을지로3가(2),49.2 ,56.2 ,715.0 ,12.0 ,1.5 ,0.017 ,21.1 ,108.0 ,2023-12-31
14,2호선,을지로4가(2),32.9 ,44.2 ,454.0 ,7.3 ,1.4 ,0.016 ,13.4 ,154.3 ,2023-12-31
15,2호선,동대문역사문화공원(2),46.8 ,67.3 ,446.0 ,6.7 ,1.5 ,0.017 ,10.4 ,72.1 ,2023-12-31
16,2호선,신당(2),57.0 ,36.9 ,461.5 ,8.4 ,0.8 ,0.017 ,15.8 ,123.3 ,2023-12-31
17,2호선,상왕십리,46.7 ,49.2 ,471.0 ,7.1 ,0.7 ,0.018 ,11.4 ,82.7 ,2023-12-31
18,2호선,왕십리(2),40.0 ,31.4 ,471.0 ,8.0 ,1.0 ,0.019 ,21.3 ,125.9 ,2023-12-31
19,2호선,잠실(2),31.3 ,42.4 ,469.3 ,2.4 ,0.6 ,0.015 ,10.2 ,55.4 ,2023-12-31
20,2호선,잠실새내,48.2 ,42.2 ,452.0 ,2.8 ,0.8 ,0.014 ,7.5 ,52.4 ,2023-12-31
21,2호선,종합운동장(2),26.0 ,27.9 ,432.3 ,3.2 ,0.5 ,0.016 ,14.3 ,102.9,2023-12-31
22,2호선,삼성,31.3 ,49.2 ,496.0 ,3.3 ,0.6 ,0.019 ,7.8 ,79.9 ,2023-12-31
23,2호선,선릉,39.5 ,49.1 ,596.5 ,6.1 ,0.8 ,0.022 ,12.0 ,100.6 ,2023-12-31
